question_id,db_id,difficulty,Question,Status,Agent_Selected_Items,Agent_Reasoning,RAW_NODES,PCST_NODES,Final_Nodes,Schema_Recall,Schema_Precision,Schema_F1,Pred_Count,GT_Count,Missing_col,Extra_col,Generated_SQL,Error_Detail,Agent_Time_sec,Generator_Time_sec,Total_Time_sec
10,california_schools,simple,"For the school with the highest average score in Reading in the SAT test, what is its FRPM count for students aged 5-17?",FAIL,,,92,0,0,0.5,0.4286,0.4615,7,6,"['satscores.avgscrread', 'satscores.cds', 'satscores']","['frpm.percent (%) eligible free (ages 5-17)', 'frpm.enrollment (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.free meal count (ages 5-17)']",SELECT T1.`FRPM Count (Ages 5-17)` FROM frpm AS T1 INNER JOIN sat AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Reading Avg Score` DESC LIMIT 1,SQL Execution Failed: (sqlite3.OperationalError) no such table: sat,0.0,2.0,2.0
11,california_schools,simple,Please list the codes of the schools with a total enrollment of over 500.,FAIL,,,92,0,0,0.6667,0.5,0.5714,8,6,"['frpm.enrollment (k-12)', 'frpm.enrollment (ages 5-17)']","['schools.school', 'schools.charternum', 'schools.zip', 'frpm.school code']",SELECT T1.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Enrollment (K-12)` + T1.`Enrollment (Ages 5-17)` > 500,SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.Enrollment (K-12),0.0,3.0,3.0
12,california_schools,moderate,"Among the schools with an SAT excellence rate of over 0.3, what is the highest eligible free rate for students aged 5-17?",FAIL,,,92,0,0,0.5,0.5714,0.5333,7,8,"['satscores.numge1500', 'satscores', 'satscores.cds', 'satscores.numtsttakr']","['frpm.percent (%) eligible free (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.frpm count (ages 5-17)']",SELECT MAX(`Percent (%) Eligible Free (Ages 5-17)`) AS HighestEligibleFreeRate FROM frpm WHERE `NumGE1500` / `NumTstTakr` > 0.3,SQL Execution Failed: (sqlite3.OperationalError) no such column: NumGE1500,0.0,2.0,2.0
13,california_schools,simple,Please list the phone numbers of the schools with the top 3 SAT excellence rate.,FAIL,,,92,0,0,0.4286,0.375,0.4,8,7,"['satscores.numge1500', 'satscores', 'satscores.cds', 'satscores.numtsttakr']","['frpm.cdscode', 'schools.soc', 'frpm', 'frpm.school name', 'schools.ncesdist']",SELECT DISTINCT T1.Phone FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY (T2.`NumGE1500` / T2.`NumTstTkr`) DESC LIMIT 3,SQL Execution Failed: (sqlite3.OperationalError) no such column: T2.NumGE1500,0.0,2.0,2.0
14,california_schools,simple,"List the top five schools, by descending order, from the highest to the lowest, the most number of Enrollment (Ages 5-17). Please give their NCES school identification number.",FAIL,,,92,0,0,0.8333,0.625,0.7143,8,6,['schools.cdscode'],"['frpm.percent (%) eligible free (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.frpm count (ages 5-17)']",SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.NCESSchool = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,,0.0,1.0,2.0
15,california_schools,simple,Which active district has the highest average score in Reading?,FAIL,,,92,0,0,0.4286,0.3333,0.375,9,7,"['schools.statustype', 'satscores.cds', 'schools.cdscode', 'schools.district']","['frpm.cdscode', 'frpm.district type', 'schools.streetabr', 'frpm', 'frpm.district name', 'frpm.irc']",SELECT `District Name` FROM frpm WHERE IRC = 1 ORDER BY AvgScrRead DESC LIMIT 1,SQL Execution Failed: (sqlite3.OperationalError) no such column: AvgScrRead,0.0,0.0,2.0
16,california_schools,simple,How many schools in merged Alameda have number of test takers less than 100?,FAIL,,,92,0,0,0.2857,0.25,0.2667,8,7,"['satscores.cds', 'satscores.numtsttakr', 'schools.statustype', 'satscores', 'schools.county']","['schools.gsoffered', 'frpm.cdscode', 'schools.gsserved', 'frpm', 'schools.ncesdist', 'schools.doc']",SELECT COUNT(*) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.GSserved = '9-12' AND T1.`Number of test takers` < 100,SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.Number of test takers,0.0,2.0,2.0
17,california_schools,simple,"Rank schools by their average score in Writing where the score is greater than 499, showing their charter numbers.",FAIL,,,92,0,0,0.4,0.25,0.3077,8,5,"['satscores.avgscrwrite', 'satscores.cds', 'satscores']","['frpm.cdscode', 'frpm', 'frpm.charter school (y/n)', 'frpm.charter school number', 'schools.charter', 'schools.charternum']",SELECT T1.CharterNum FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Writing Score` > 499 GROUP BY T1.CharterNum ORDER BY AVG(T2.`Writing Score`) DESC,SQL Execution Failed: (sqlite3.OperationalError) no such column: T2.Writing Score,0.0,2.0,2.0
18,california_schools,simple,How many schools in Fresno (directly funded) have number of test takers not more than 250?,FAIL,,,92,0,0,0.2857,0.25,0.2667,8,7,"['satscores.cds', 'satscores.numtsttakr', 'frpm.charter funding type', 'satscores', 'frpm.county name']","['frpm.frpm count (k-12)', 'schools', 'frpm.enrollment (k-12)', 'frpm.frpm count (ages 5-17)', 'schools.cdscode', 'frpm.school code']",SELECT COUNT(T1.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`FRPM Count (K-12)` <= 250 AND T2.`County Name` = 'Fresno',SQL Execution Failed: (sqlite3.OperationalError) no such column: T2.County Name,0.0,2.0,3.0
19,california_schools,simple,What is the phone number of the school that has the highest average score in Math?,FAIL,,,92,0,0,0.8333,0.5556,0.6667,9,6,['satscores.cds'],"['frpm.school name', 'frpm', 'frpm.cdscode', 'schools.gsserved']",SELECT T1.Phone FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.AvgScrMath DESC LIMIT 1,SQL Execution Failed: (sqlite3.OperationalError) no such column: T2.AvgScrMath,0.0,2.0,2.0
20,california_schools,simple,How many schools in Amador which the Low Grade is 9 and the High Grade is 12?,FAIL,,,92,0,0,0.5,0.5,0.5,8,8,"['frpm.high grade', 'frpm.school name', 'frpm.low grade', 'schools.county']","['schools.gsoffered', 'schools.streetabr', 'schools.soc', 'schools.doc']",SELECT COUNT(*) FROM schools WHERE SOC = '9' AND `Low Grade` = '9' AND `High Grade` = '12',SQL Execution Failed: (sqlite3.OperationalError) no such column: Low Grade,0.0,1.0,1.0
21,california_schools,simple,In Los Angeles how many schools have more than 500 free meals but less than 700 free or reduced price meals for K-12?,FAIL,,,92,0,0,0.6,0.375,0.4615,8,5,"['frpm.frpm count (k-12)', 'frpm.county name']","['schools', 'schools.cdscode', 'frpm.free meal count (ages 5-17)', 'frpm.percent (%) eligible free (k-12)', 'frpm.percent (%) eligible frpm (k-12)']",SELECT COUNT(DISTINCT T1.CDSCode) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Free Meal Count (K-12)` > 500 AND T1.`Free Meal Count (K-12)` < 700,,0.0,2.0,3.0
22,california_schools,simple,Which school in Contra Costa has the highest number of test takers?,FAIL,,,92,0,0,0.0,0.0,0.0,8,4,"['satscores', 'satscores.sname', 'satscores.numtsttakr', 'satscores.cname']","['frpm.cdscode', 'frpm', 'schools.ncesschool', 'schools', 'schools.cdscode', 'schools.doctype', 'schools.ncesdist', 'schools.doc']",SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.DOCType = 'Contra Costa' ORDER BY T2.CDSCode DESC LIMIT 1,,0.0,2.0,2.0
23,california_schools,moderate,List the names of schools with more than 30 difference in enrollements between K-12 and ages 5-17? Please also give the full street adress of the schools.,FAIL,,,92,0,0,0.75,0.75,0.75,8,8,"['schools.school', 'schools.cdscode']","['frpm.percent (%) eligible free (ages 5-17)', 'frpm.frpm count (ages 5-17)']",,SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.School Name,0.0,2.0,3.0
24,california_schools,moderate,Give the names of the schools with the percent eligible for free meals in K-12 is more than 0.1 and test takers whose test score is greater than or equal to 1500?,FAIL,,,92,0,0,0.375,0.4286,0.4,7,8,"['satscores.numge1500', 'satscores.cds', 'frpm.school name', 'frpm.enrollment (k-12)', 'satscores']","['frpm.percent (%) eligible free (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.percent (%) eligible free (k-12)', 'frpm.percent (%) eligible frpm (k-12)']",SELECT T1.school_name FROM public_schooldistrict AS T1 INNER JOIN public_school AS T2 ON T1.district_id = T2.district_id INNER JOIN public_school_test_result AS T3 ON T2.school_id = T3.school_id WHERE T3.test_score >= 1500 AND T2.`percent eligible for free meals` > 0.1,SQL Execution Failed: (sqlite3.OperationalError) no such table: public_schooldistrict,0.0,3.0,3.0
25,california_schools,moderate,"Name schools in Riverside which the average of average math score for SAT is grater than 400, what is the funding type of these schools?",FAIL,,,92,0,0,0.625,0.5556,0.5882,9,8,"['frpm.district name', 'satscores.sname', 'satscores.cds']","['frpm.school type', 'schools.soctype', 'schools.fundingtype', 'schools']",SELECT DISTINCT T1.FundingType FROM schools AS T1 INNER JOIN satscores AS T2 ON T2.SchoolID = T1.SchoolID WHERE T1.SOCType = 'K-12 Schools (Public)' AND T1.`Location Type` = 'Riverside' GROUP BY T1.FundingType HAVING AVG(T2.AvgScrMath) > 400,SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.Location Type,0.0,3.0,3.0
26,california_schools,moderate,State the names and full communication address of high schools in Monterey which has more than 800 free or reduced price meals for ages 15-17?,FAIL,,,92,0,0,0.25,0.4286,0.3158,7,12,"['frpm.school type', 'schools.state', 'schools', 'frpm.school name', 'schools.city', 'schools.cdscode', 'schools.county', 'schools.street', 'schools.zip']","['frpm.percent (%) eligible free (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.free meal count (k-12)', 'frpm.frpm count (ages 5-17)']","SELECT T1.SchoolName, T1.Street, T1.City, T1.State, T1.ZipCode FROM public_schooldistrict AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.DistrictName = 'Monterey' AND T2.`Free Meal Count (Ages 15-17)` > 800",SQL Execution Failed: (sqlite3.OperationalError) no such table: public_schooldistrict,0.0,2.0,3.0
27,california_schools,moderate,"What is the average score in writing for the schools that were opened after 1991 or closed before 2000? List the school names along with the score. Also, list the communication number of the schools if there is any.",FAIL,,,92,0,0,0.4444,0.4444,0.4444,9,9,"['schools.phone', 'satscores.cds', 'schools.closeddate', 'schools.opendate', 'schools.cdscode']","['schools.gsoffered', 'frpm.cdscode', 'schools.gsserved', 'frpm', 'frpm.school name']","SELECT AVG(T1.AvgScrWrite) AS avg_score, T2.`School`, T2.`Phone Number` FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.`School Name` = T2.School WHERE T2.`Year Opened` > 1991 OR T2.`Year Closed` < 2000 GROUP BY T2.`School`, T2.`Phone Number`",SQL Execution Failed: (sqlite3.OperationalError) no such column: T2.Phone Number,0.0,3.0,4.0
28,california_schools,challenging,"Consider the average difference between K-12 enrollment and 15-17 enrollment of schools that are locally funded, list the names and DOC type of schools which has a difference above this average.",FAIL,,,92,0,0,0.7778,0.875,0.8235,8,9,"['schools.school', 'schools.cdscode']",['schools.doctype'],,SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.Name,0.0,4.0,5.0
29,california_schools,simple,When did the first-through-twelfth-grade school with the largest enrollment open?,FAIL,,,92,0,0,0.8333,0.625,0.7143,8,6,['schools.cdscode'],"['frpm.enrollment (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.percent (%) eligible frpm (k-12)']",SELECT `OpenDate` FROM schools ORDER BY `Enrollment (K-12)` DESC LIMIT 1,SQL Execution Failed: (sqlite3.OperationalError) no such column: Enrollment (K-12),0.0,0.0,1.0
30,california_schools,simple,Which cities have the top 5 lowest enrollment number for students in grades 1 through 12?,FAIL,,,92,0,0,0.5,0.375,0.4286,8,6,"['schools.city', 'schools', 'schools.cdscode']","['satscores.enroll12', 'satscores', 'frpm.enrollment (ages 5-17)', 'frpm.percent (%) eligible free (k-12)', 'frpm.percent (%) eligible frpm (k-12)']",SELECT city FROM frpm ORDER BY `Enrollment (K-12)` ASC LIMIT 5,SQL Execution Failed: (sqlite3.OperationalError) no such column: city,0.0,0.0,1.0
31,california_schools,moderate,What is the eligible free rate of the 10th and 11th schools with the highest enrolment for students in grades 1 through 12?,FAIL,,,92,0,0,0.6667,0.2857,0.4,7,3,['frpm.enrollment (k-12)'],"['frpm.cdscode', 'frpm.percent (%) eligible free (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.percent (%) eligible free (k-12)', 'frpm.percent (%) eligible frpm (k-12)']","SELECT `Percent (%) Eligible Free (K-12)` FROM frpm ORDER BY `Enrollment (K-12)` DESC LIMIT 10, 2",,0.0,1.0,2.0
32,california_schools,moderate,What is the eligible free or reduced price meal rate for the top 5 schools in grades 1-12 with the highest free or reduced price meal count of the schools with the ownership code 66?,FAIL,,,92,0,0,0.2857,0.2857,0.2857,7,7,"['schools.soc', 'frpm.frpm count (k-12)', 'schools', 'frpm.enrollment (k-12)', 'schools.cdscode']","['frpm.percent (%) eligible free (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.free meal count (k-12)', 'frpm.percent (%) eligible free (k-12)', 'frpm.percent (%) eligible frpm (k-12)']",SELECT (T1.`Free Meal Count (K-12)`) / T1.`Enrollment (K-12)` AS `Eligible Free or Reduced Price Meal Rate` FROM frpm AS T1 WHERE T1.CDSCode IN ( SELECT CDSCode FROM frpm WHERE `Ownership Code` = 66 ORDER BY `Free Meal Count (K-12)` DESC LIMIT 5 ) ORDER BY `Eligible Free or Reduced Price Meal Rate` DESC LIMIT 5,SQL Execution Failed: (sqlite3.OperationalError) no such column: Ownership Code,0.0,3.0,4.0
33,california_schools,moderate,"If there are any, what are the websites address of the schools with a free meal count of 1,900-2,000 to students aged 5-17? Include the name of the school.",FAIL,,,92,0,0,0.4286,0.4286,0.4286,7,7,"['frpm.school name', 'schools.website', 'schools', 'schools.cdscode']","['frpm.percent (%) eligible free (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.free meal count (k-12)', 'frpm.frpm count (ages 5-17)']","SELECT T1.SchoolName, T2.`Website Address` FROM public_schooldistrict AS T1 INNER JOIN public_school AS T2 ON T1.DistrictID = T2.DistrictID INNER JOIN frpm AS T3 ON T2.CDSCode = T3.CDSCode WHERE T3.`Free Meal Count (Ages 5-17)` BETWEEN 1900 AND 2000",SQL Execution Failed: (sqlite3.OperationalError) no such table: public_schooldistrict,0.0,3.0,4.0
34,california_schools,moderate,What is the free rate for students between the ages of 5 and 17 at the school run by Kacey Gibson?,FAIL,,,92,0,0,0.5,0.5714,0.5333,7,8,"['schools.admfname1', 'schools.admlname1', 'schools', 'schools.cdscode']","['frpm.percent (%) eligible free (ages 5-17)', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.percent (%) eligible free (k-12)']",SELECT (T1.`Free Meal Count (Ages 5-17)` / T1.`Enrollment (Ages 5-17)`) AS free_rate FROM frpm AS T1 JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.school_name = 'Kacey Gibson',SQL Execution Failed: (sqlite3.OperationalError) no such column: T2.school_name,0.0,2.0,2.0
35,california_schools,moderate,What is the administrator's email address of the chartered school with the fewest students enrolled in grades 1 through 12?,FAIL,,,92,0,0,0.8571,0.75,0.8,8,7,['schools.cdscode'],"['schools.admemail2', 'schools.admemail3']",SELECT T1.AdmEmail1 FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.schoolid = T2.CDSCode WHERE T2.`Charter School (Y/N)` = 1 ORDER BY T2.`Enrollment (K-12)` ASC LIMIT 1,SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.schoolid,0.0,2.0,3.0
36,california_schools,challenging,Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,FAIL,,,92,0,0,0.6364,0.7778,0.7,9,11,"['schools.admfname2', 'schools.admfname3', 'satscores.cds', 'schools.cdscode']","['frpm', 'frpm.cdscode']","SELECT DISTINCT AdmFName1, AdmLName1, AdmFName2, AdmLName2, AdmFName3, AdmLName3 FROM schools WHERE AdmFName1 IS NOT NULL AND AdmLName1 IS NOT NULL AND AdmFName2 IS NOT NULL AND AdmLName2 IS NOT NULL AND AdmFName3 IS NOT NULL AND AdmLName3 IS NOT NULL ORDER BY (SELECT SUM(NumGE1500) FROM satscores) DESC LIMIT 1",,0.0,4.0,4.0
37,california_schools,moderate,"What is the complete address of the school with the lowest excellence rate? Indicate the Street, City, Zip and State.",FAIL,,,92,0,0,0.4,0.5,0.4444,8,10,"['satscores.numge1500', 'satscores.cds', 'satscores.numtsttakr', 'satscores', 'schools.cdscode', 'schools.street']","['frpm.school name', 'schools.streetabr', 'frpm.cdscode', 'frpm']","SELECT StreetAbr, City, Zip, State FROM schools ORDER BY (SELECT CAST(SUM(CASE WHEN NumGE1500 > 0 THEN 1 ELSE 0 END) AS REAL) / SUM(NumTstTkr) FROM frpm) LIMIT 1",SQL Execution Failed: (sqlite3.OperationalError) no such column: NumTstTkr,0.0,1.0,2.0
38,california_schools,simple,"What are the webpages for the Los Angeles County school that has between 2,000 and 3,000 test takers?",FAIL,,,92,0,0,0.2857,0.25,0.2667,8,7,"['satscores.cds', 'satscores.numtsttakr', 'satscores', 'schools.county', 'schools.cdscode']","['schools.school', 'frpm.cdscode', 'frpm', 'frpm.charter school (y/n)', 'schools.ncesschool', 'schools.city']",SELECT T1.Website FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.NCESSchool = T2.CDSCode WHERE T1.City = 'Los Angeles' AND T2.`Charter School (Y/N)` = 0 AND T1.`# of Students` BETWEEN 2000 AND 3000,SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.# of Students,0.0,2.0,3.0
39,california_schools,simple,What is the average number of test takers from Fresno schools that opened between 1/1/1980 and 12/31/1980?,FAIL,,,92,0,0,0.0,0.0,0.0,6,7,"['satscores.cds', 'satscores.numtsttakr', 'schools.opendate', 'schools', 'satscores', 'schools.cdscode', 'schools.county']","['frpm.cdscode', 'frpm', 'frpm.percent (%) eligible frpm (ages 5-17)', 'frpm.frpm count (ages 5-17)', 'frpm.enrollment (ages 5-17)', 'frpm.percent (%) eligible frpm (k-12)']",SELECT AVG(`Number of Test Takers`) FROM `fresno_public_schoo` WHERE `Year` = 1980,SQL Execution Failed: (sqlite3.OperationalError) no such table: fresno_public_schoo,0.0,1.0,2.0
40,california_schools,moderate,What is the telephone number for the school with the lowest average score in reading in Fresno Unified?,FAIL,,,92,0,0,0.0,0.0,0.0,6,7,"['schools.phone', 'satscores.cds', 'satscores.avgscrread', 'schools', 'satscores', 'schools.cdscode', 'schools.district']","['frpm.school type', 'frpm.cdscode', 'frpm', 'frpm.low grade', 'frpm.school name', 'frpm.school code']",SELECT T1.`Telephone Number` FROM frpm AS T1 INNER JOIN `california schools` AS T2 ON T1.`CDSCode` = T2.`CDS Code` WHERE T2.District = 'Fresno Unified' ORDER BY T1.`Average Score in Reading` ASC LIMIT 1,SQL Execution Failed: (sqlite3.OperationalError) no such table: california schools,0.0,2.0,2.0
41,california_schools,simple,List the names of virtual schools that are among the top 5 in their respective counties based on average reading scores.,FAIL,,,92,0,0,0.375,0.4286,0.4,7,8,"['schools.school', 'satscores.cds', 'satscores.avgscrread', 'satscores', 'schools.county']","['frpm.school name', 'frpm', 'frpm.cdscode', 'schools.ncesschool']","SELECT T1.`School Name` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.Virtual = 'F' ORDER BY T1.`County`, T1.`Average Reading Score` DESC LIMIT 5",SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.County,0.0,2.0,3.0
42,california_schools,simple,What is the type of education offered in the school who scored the highest average in Math?,FAIL,,,92,0,0,0.1667,0.125,0.1429,8,6,"['satscores.cds', 'satscores.avgscrmath', 'schools.cdscode', 'satscores', 'schools.edopsname']","['frpm.school type', 'schools.gsoffered', 'frpm.cdscode', 'frpm', 'schools.charter', 'schools.soctype', 'frpm.educational option type']",SELECT DISTINCT `GSoffered` FROM schools WHERE `CDSCode` = ( SELECT `CDSCode` FROM frpm ORDER BY `Math` DESC LIMIT 1 ),SQL Execution Failed: (sqlite3.OperationalError) no such column: Math,0.0,1.0,1.0
43,california_schools,moderate,"What is the average math score of the school with the lowest average score for all subjects, and in which county is it located?",FAIL,,,92,0,0,0.25,0.2857,0.2667,7,8,"['satscores.cds', 'satscores.avgscrwrite', 'satscores.avgscrread', 'satscores', 'satscores.avgscrmath', 'schools.cdscode']","['frpm.cdscode', 'schools.soc', 'frpm', 'frpm.low grade', 'frpm.school name']","SELECT AVG(T1.AvgScrMath) AS avg_math_score, T2.County FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode GROUP BY T2.County ORDER BY avg_math_score ASC LIMIT 1",SQL Execution Failed: (sqlite3.OperationalError) no such column: T1.AvgScrMath,0.0,2.0,3.0
